,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
1412,4662,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6715281618789, 9.19894561171532",Griebel,Ungelöst Abgeschlossen,23.03.2021,"Salesianerweg 7, 78464 Konstanz, Germany                    ",Nach den starken Schneefall im Februar hat sich hier ein 20 cm tiefes Loch mit etwa 25cm Durchmesser gebildet. Damals lieb dich der Mängel nicht hochladen. Jetzt ist das Loch etwas kleiner geworden weil verschiedene Passanten Versuch haben es zu füllen. Allerdings könnte darunter ein defektes Rohr oder was ähnliches zu den abrutscht des Weges geführt haben. Vielleicht wäre es sinnvoll das zu prüfen.,
1413,4663,Beleuchtung > Straßenlaternen defekt,"47.6724346134475, 9.18392457067966",Stadtwerke Konstanz,Gelöst,23.03.2021,"Zähringerpl. 20, 78464 Konstanz, Germany                    ",Defekte Straßenlaterne,
1414,4664,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.66103, 9.168539",Stadtverwaltung,Gelöst,24.03.2021,"Leinerstraße 3, 78462 Konstanz, Germany                    ","Leinerstr. 3
2 Fahrräder seit Dezember 2020. Nach Rücksprache mit Anwohnern nicht zugehörig.",
1415,4665,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6725831112474, 9.19464831913605",Technische Betriebe,Gelöst,24.03.2021,"Brandesstraße 14, 78464 Konstanz, Germany                    ","Bänke, Tische sehr verschmutzt. Schaukeln beschädigt (Risse im in den Sitzflächen). Wenig Sand. Abdeckung für den Sandkasten mit Kot verschmutzt. Sehr viele Äste liegen rum. Kaum noch Holzschnitzel bzw  Rindenmulch um die Rutsche herum. Ein allgemein schlechter Zustand des Spielplatzes.",
1416,4666,Beleuchtung > Straßenlaternen defekt,"47.6751373937474, 9.17156629264355",Stadtwerke Konstanz,Gelöst,25.03.2021,"Gustav-Schwab-Straße 13, 78467 Konstanz, Germany                    ",Laterne ohne Funktion,
1417,4667,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6720528757226, 9.15949448910108",Technische Betriebe,Gelöst,25.03.2021,"Reichenaustraße 53, 78467 Konstanz, Germany                    ",2x Gully verstopft Wasser läuft nicht mehr ab Reichenaustr 53 bei der Polywerft,
1418,4668,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.67203, 9.16099",Stadtverwaltung,Ungelöst Abgeschlossen,25.03.2021,"Reichenaustraße 43, 78467 Konstanz, Germany                    ","Verkehrsschild# Verbot der Durchfahrt für Fahrräder#
Jedoch viele Fahrradfahrer kennen diese Zeichen nicht und Missachten es oder ignorieren es sogar
Dadurch entstehen täglich viele gefährlich Situationen
Vielleicht auf der Fahrbahn nochmals kennzeichnen!!!!!
(Adresssuche nach: Reichenaustr 43)",
1419,4669,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.682284232045, 9.14763227105141",Stadtverwaltung,Gelöst,25.03.2021,"Riedstraße 35, 78467 Konstanz, Germany                    ","Diese Stelle ist für Radfahrer überaus gefährlich und nicht selten kommt es hier zu beinahe oder zu tatsächlichen Kollisionen. Mit einem Anhänger oder Lastenrad ist der Weg kaum zu passieren, zudem ist dieser sehr schlecht bis gar nicht einsehbar.",
1421,4671,Öffentliche Orte/Ufer > Schulgelände schadhaft / verunreinigt,"47.6678264139785, 9.17825431435334",Technische Betriebe,Ungelöst Abgeschlossen,25.03.2021,"Benediktinerpl. 6, 78467 Konstanz, Germany                    ",Das Gebäude der Musikschule Konstanz verfügt nicht über WLAN,
1422,4672,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.682418848376, 9.17047175587125",Technische Betriebe,Gelöst,26.03.2021,"Sonnentauweg 2, 78467 Konstanz, Germany                    ",Schlaglöcher in den Auffahrten von den Bremsschwellen,
1423,4673,Müll/Sauberkeit > Illegaler Müll,"47.6723847195115, 9.17263515293598",Technische Betriebe,Gelöst,26.03.2021,"Markgrafenstraße 51, 78467 Konstanz, Germany                    ",Matratze wurde an der Straße zur Markgrafenstr. ca. Hausnummer 51 illegal abgestellt /entsorgt,
1425,4675,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6742620219458, 9.17474681116783",Stadtverwaltung,Gelöst,27.03.2021,"Pestalozzistraße 1, 78467 Konstanz, Deutschland                    ",Fahrrad steht schon Monate an der Ecke und nicht bewegt,
1427,4677,Beleuchtung > Straßenlaternen defekt,"47.6810775176416, 9.18328730336214",Stadtwerke Konstanz,Gelöst,27.03.2021,"Gottfried-von-Herder-Weg 3, 78464 Konstanz, Germany                    ","Straßenlaterne ist im täglichen Wechsel einen Tag aus, am nächsten ist sie an, das ist doch merkwürdig!
(Adresssuche nach: Gottfried-von-Herder-Weg 1erder-Weg, 3)",
1428,4678,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6652814584608, 9.16450269520283",Technische Betriebe,Gelöst,27.03.2021,"Fischenzstraße 2, 78462 Konstanz, Germany                    ",Gulli Feldstraße verstopft.,
1429,4679,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6659385774129, 9.17612154842505",Technische Betriebe,Gelöst,27.03.2021,"Klostergasse 6, 78462 Konstanz, Germany                    ",Poller vor der Feuergasse ist verschwunden.,
1430,4680,Hinweise > Hinweise,keine,Stadtverwaltung,,28.03.2021,Gelöst,Auf dem Radweg zwischen Dettingen und Wallhausen ist dieser Verteilerkasten umgerissen,
1432,4682,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6615698022505, 9.16868393626227",Technische Betriebe,Gelöst,28.03.2021,"Gütlestraße 8, 78462 Konstanz, Germany                    ",einer Bank an der Tisch-Bank-Kombi fehlt eine Holzleiste. Die Metallhalterung steht hervor. Verletzungsgefahr,
1433,4683,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6615698775836, 9.16911149470119",Technische Betriebe,Gelöst,28.03.2021,"Gütlestraße 3, 78462 Konstanz, Germany                    ","Im kleinen Kletterturm fehlt oben auf der Aussichtsplattform eine Holzbohle. 
""Absturzgefahr""",
1434,4684,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6900046637779, 9.13719013894325",Technische Betriebe,Gelöst,28.03.2021,"Eichbühlstraße 40, 78467 Konstanz, Germany                    ","Liebe Stadt- hier wurde ein Baum gefällt und so unglaublich unprofessional gelagert, dass es nur zu Unfällen kommen kann! Meine Tochter ist mit dem Rad gestürzt und hat sich (zum großen Glück) nur leicht verletzt, bei den in den Weg ragenden Ästen ein Wunder! 
Bitte so schnell wie möglich beseitigen!",
1437,4687,Müll/Sauberkeit > Illegaler Müll,"47.6622145, 9.1765351",Amt für Stadtplanung und Umwelt,Gelöst,29.03.2021,"Hofhalde 3, 78462 Konstanz, Germany                    ","Unsortierter Müll wird bei Abholung des Restmülls in Säcken einfach dazugestellt, das bereits das 3. Mal in Folge. Diese Mülltüten werde natürlich von den Entsorgungsbetrieben stehen gelassen. 
(Adresssuche nach: Hofhalde, 3)",
1438,4688,Müll/Sauberkeit > Illegaler Müll,"47.6573833811486, 9.17441616255257",Stadtverwaltung,Gelöst,29.03.2021,"Hüetlinstraße 2, 78462 Konstanz, Deutschland                    ","Hütlinstrasse gegenüber Nr. 5.
Seit mehreren Tagen nach Auszug aus dem Gebäude.",
1443,4693,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6636752491107, 9.16492341415045",Technische Betriebe,Gelöst,30.03.2021,"Richentalstraße 17, 78462 Konstanz, Germany                    ",Auf dem Gehweg/Rinnstein liegen sehr viele Zigarettenkippen. (vor Haus Nr. 17/19),
1444,4694,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6817893811031, 9.21005243687588",Stadtverwaltung,Gelöst,30.03.2021,"Schiffstraße 44B, 78464 Konstanz, Germany                    ",Silbernes Fahrrad ohne Sattel am Ende der Parkplätze/Schiffstr gefunden. Rad ist an Schild gelehnt.,
1445,4695,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6703159981782, 9.17623769491911",Technische Betriebe,Gelöst,31.03.2021,"Ebertpl. 5, 78467 Konstanz, Germany                    ",2 Schilder hintereinander und zwei Schildstangen ohne Schilder. Müsste evtl. in logischer Weise bereinigt werden.,
1446,4696,Öffentliche Orte/Ufer > Schulgelände schadhaft / verunreinigt,"47.6790473, 9.1901537",Technische Betriebe,Gelöst,31.03.2021,"Sonnenbühlstraße 32, 78464 Konstanz, Germany                    ","Gelände der Schule am Buchenberg: Korb des Basketballständers nicht ordnungsgemäß befestigt, verursacht beim Aufprall des Balls Lärm. Die ständige Lärmbelästigung tagsüber, abends und auch am Wochenende ist nicht hinnehmbar. Zudem wird das Spiel am Wochenende oft von lauter Musikbeschallung begleitet. Wir erbitten umgehende Reparatur und ein Vrnutzungsverbot an Sonn- und Feiertagen.
(Adresssuche nach: Sonnenbühlstr. 32)",
1447,4697,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6875811228432, 9.14957011772156",Technische Betriebe,Gelöst,01.04.2021,"Fürstenbergstraße 5, 78467 Konstanz, Germany                    ","Gegenüber Fürstenbergstraße 8 bis 12 werden gelbe Säcke auf den Privatgrundstücken (auf der anderen Seite der Fürstenbergstraße) ungesichert gelagert und bei starkem Wind auf die Grundstücke Fürstenbergstraße 8 bis 12 geweht.
(Adresssuche nach: Fürstenbergstraße 12)",
1449,4699,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.658944485538, 9.17467930514007",Stadtverwaltung,Gelöst,03.04.2021,"Bahnhofstraße 18, 78462 Konstanz, Germany                    ",Verwaiste und kaputte Fahrräder sammeln sich am Fahrradständer an der Dreifaltigkeitskirche. Somit wird es zunehmend erschwert einen Abstellplatz zu ergattern.,
1450,4700,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6917474327422, 9.19152796268463",Stadtverwaltung,Gelöst,04.04.2021,"Flurweg 10, 78464 Konstanz, Germany                    ",Defektes Rad liegt im Gebüsch,
1451,4701,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6765176269803, 9.17096916586161",Technische Betriebe,Gelöst,04.04.2021,"Bücklestraße 60, 78467 Konstanz, Germany                    ",Die Birke behindert Fußgänger auf dem Fußweg.,
1452,4702,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6742859987339, 9.17839597866987",Stadtverwaltung,Gelöst,05.04.2021,"Steinstraße 14, 78467 Konstanz, Deutschland                    ",Demontiertes Fahrrad in Höhe Steinstrasse 14,
1453,4703,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.7458696194749, 9.1334391583861",OV Dettingen-Wallhausen,Gelöst,05.04.2021,"Wallhausen/Konstanz,Linzgaubl., 78465 Konstanz, Germany                    ","Latte fehlt, Verletzungsgefahr durch Schraube",
1454,4704,Müll/Sauberkeit > Mülleimer überfüllt,"47.6824084413102, 9.15987375991307",Technische Betriebe,Gelöst,05.04.2021,"Haidelmoosweg 29, 78467 Konstanz, Germany                    ",Mülleimer voll,
1455,4705,Müll/Sauberkeit > Mülleimer überfüllt,"47.6821204043938, 9.16491517144705",Technische Betriebe,Gelöst,05.04.2021,"Rosmarinheideweg 13, 78467 Konstanz, Germany                    ",Die Hundekotbehälter im Bereich der Kleingartenanlage Haidelmoos sind überfüllt,
1456,4706,Müll/Sauberkeit > Altglascontainer überfüllt,"47.6849838633594, 9.15672301774674",Technische Betriebe,Gelöst,05.04.2021,"Siebenbürgener Weg 6, 78467 Konstanz, Deutschland                    ",Altglasbehälter überfüllt,
1457,4707,Müll/Sauberkeit > Mülleimer überfüllt,"47.6814331663803, 9.16363767975147",Technische Betriebe,Gelöst,05.04.2021,"Haidelmoosweg 10, 78467 Konstanz, Deutschland                    ","Der Mülleimer in Feld 10, öffentlich, quillt über mit Hundekotbeuteln. Diese liegen bereits verstreut auf dem Weg
(Adresssuche nach: Kleingartenverein Haidelmoos)",
1458,4708,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6881829499838, 9.14431510132217","Behrendt, Chrtistian",Gelöst,05.04.2021,"Mühlenweg 15, 78467 Konstanz, Germany                    ","Äste/Zweige der Hecke ragen in den Rad/Fußweg - besonders kritisch auf Höhe des mittig plazierten Verkehrsschildes für Rad- und Fußweg.
Bereits seit vergangenem Herbst besteht dieses Problem. Man sieht die dünnen Zweige kaum und kommt mit ihnen zwangläufig in Kontakt (sogar ins Gesicht)",
1459,4709,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6813975148492, 9.19150320451893",Technische Betriebe,Ungelöst Abgeschlossen,05.04.2021,"Jacob-Burckhardt-Straße 35, 78464 Konstanz, Germany                    ","vermutlich durch die Baumwurzeln mehrere kurze, nacheinander folgende Bodenwellen über ein längeren Streckenabschnitt",
1460,4710,Müll/Sauberkeit > Illegaler Müll,"47.6725544, 9.17407",Technische Betriebe,Gelöst,06.04.2021,"Markgrafenstraße 38, 78467 Konstanz, Germany                    ","Illegal entsorgter Müll liegt in der Feuerwehzufahrt zum Kindergarten .
(Adresssuche nach: Markgrafenstr 38)",
1461,4711,Müll/Sauberkeit > Illegaler Müll,"47.6807171999386, 9.20996937578843",Stadtverwaltung,Gelöst,06.04.2021,"Fischerstraße 13, 78464 Konstanz, Germany                    ","seit 3 oder 4 Tagen liegt diese Kofferraumsbdeckung an, jetzt auf dem Gehweg. Die Restmülltonne ist zu klein, um das Ding zu entsorgen. In der Dunkelheit und beim derzeitigen Wind ist es eine gefährliche Stolperfalle. Bitte rasch entfernen.",
1463,4713,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6887339427698, 9.17178290996727",Technische Betriebe,Gelöst,07.04.2021,"Universitätsstraße, 78467 Konstanz, Deutschland                    ",Auf dem Fahrradstreifen Richtung Wollmatingen lagen gestern Abend Glasscherben.,
1464,4714,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6589014495554, 9.16587565094233",Stadtverwaltung,Gelöst,08.04.2021,"Blarerstraße 56, 78462 Konstanz, Germany                    ",Grenzbachwege Konstanz. 2 Fahrräder... defekt... nicht fahrtüchtig.,
1466,4716,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.683744939856, 9.14954099912394",Technische Betriebe,Gelöst,09.04.2021,"Magdeburger Str. 2, 78467 Konstanz, Germany                    ",Halb gebrochener Ast,
1467,4717,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6786567112873, 9.14599223045792",Technische Betriebe,Gelöst,09.04.2021,"Macairestraße 17, 78467 Konstanz, Germany                    ",Auf dem Fahrradweg zwischen Der Kreuzung Reichenaustr/ Riedstraße und dem Kreisel Riedstraße befinden sich Glasscherben.,
1468,4718,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6715789597058, 9.17895946651697",Technische Betriebe,Gelöst,09.04.2021,"Petershauser Str. 38, 78467 Konstanz, Germany                    ",Blaue Glasscherben,
1469,4719,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6694950793732, 9.17853802442551",Technische Betriebe,Gelöst,09.04.2021,"Ernst-Bärtschi-Weg 2, 78467 Konstanz, Germany                    ","Im Sandkasten befinden sich am Stein neben dem Spielhäuschen mehrere Erdbienennester. Generell bin ich ""Pro Bienen"".An einer Stelle an der Kinder buddeln halte ich Bienen jedoch für gefährlich.",
1471,4721,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.7369095565684, 9.15354291841967",OV Dingelsdorf,Gelöst,11.04.2021,"Thingoltstraße 34, 78465 Konstanz, Germany                    ",Spielgerät kaputt,
1473,4723,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6630342757974, 9.16006868094251",Technische Betriebe,Gelöst,11.04.2021,"Gottlieber Str. 47, 78462 Konstanz, Germany                    ","Tatsächlicher Ort weiter westlich im Tägermoos - siehe Anlage
In dem Bachabschnitt vor dem Gemüsegeschäft, wo der Bach südlich der Strasse kurz parallel zu dieser verläuft, liegen seit einem(?) Jahr 4 7-8m lange Spiralrohre im Bachbett. Die Äste und Schwemmgut stauen sich davor, auch sonstiger Dreck. Werden die Rohre landwirtschaftlich oder (wasser)bautechnisch noch gebraucht oder sollten die eigentlich entfernt werden?",
1474,4724,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6881592598894, 9.15722350859489",Stadtverwaltung,Gelöst,11.04.2021,"Gabelsbergerstraße 13, 78467 Konstanz, Germany                    ",MTB lehnt seit Wochen unverschlossen am Baum/ Farbe weiß/rot,
1476,4726,Müll/Sauberkeit > Illegaler Müll,"47.6806860504912, 9.20977900571406",Technische Betriebe,Gelöst,12.04.2021,"Fischerstraße 13, 78464 Konstanz, Germany                    ","die bereits gemeldete  schwarze Kofferraumabdeckung liegt immer noch auf dem öffentlichen Gehweg und gefährdet in der Dunkelheit Fußgänger, besonders
Ältere. Da sie sperrig ist, kann ich sie nicht zum Fundbüro schaffen und in den Restmüll passt sie erst recht nicht. Bitte beseitigen Sie  diese Gefahrenquelle, bevor etwa passiert.
[...]",
1477,4727,Beleuchtung > Straßenlaternen defekt,"47.6669102135188, 9.17923241585112",Stadtwerke Konstanz,Gelöst,12.04.2021,"Sternenpl., 78464 Konstanz, Germany                    ","2 Straßenlaternen sind schon über 1 Jahr defekt, sehr unheimlich nachts. 
Eisenbahnbrücke/Fußgängerbrücke über der Mainaustraße von Theodor-Heuss-Str. kommend",
1479,4729,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6667938131494, 9.16188485920429",Stadtverwaltung,Gelöst,13.04.2021,"Gartenstraße 43, 78462 Konstanz, Germany                    ","Seit gestern ist die grüne Fußgängerampel verstellt /beschädigt, so dass man sie von der Brückenseite aus nur schlecht erkennen kann",
1480,4730,Müll/Sauberkeit > Illegaler Müll,"47.6880317479153, 9.17035875937675",Technische Betriebe,Gelöst,15.04.2021,"Universitätsstraße, 78467 Konstanz, Germany                    ","Bei der Grillstelle liegen viele beschichtete Spanplatten herum, die zum Teil auch schon verbrannt wurden. Außerdem haben sich zwei separate und illegale Grillstellen etabliert.",
1481,4731,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6692175986723, 9.18069183826447",Technische Betriebe,Gelöst,15.04.2021,"Eisenbahnstraße 21, 78467 Konstanz, Germany                    ","Eisenbahnstr. 21, Wendefläche.
Beschilderung Zeichen 239 wurde entfernt und in angrenzende Grünfläche gelegt.",
1482,4732,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6597283, 9.1732338",Technische Betriebe,Gelöst,15.04.2021,"Obere Augustinergasse 1, 78462 Konstanz, Germany                    ","Am Augustinerplatz sind einige Sprayereien an den Wänden, dem Trinkwasserbrunnen etc.
(Adresssuche nach: augustinerplatz)",
1483,4733,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6724190712602, 9.17619462827737",Technische Betriebe,Gelöst,15.04.2021,"Sankt-Gebhard-Straße 32, 78467 Konstanz, Germany                    ",Am südlichsten der 3 grossen Brunnen ist das Ablaufgitter vollständig verstopft. Alles rinnt darüber und in den daneben liegenden Schacht,
1485,4735,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6746761791169, 9.15954865515232",Stadtverwaltung,Gelöst,16.04.2021,"Neuwerk, 78467 Konstanz, Germany                    ","Der Radweg darf offiziell in beide Richtungen befahren werden, was durch entsprechende Schilder angezeigt wird. Allerdings werden diese Schilder offenbar regelmäßig übersehen. Denn es fahren regelmäßig Fahrradfahrer auf dem Fußgängerweg, weil sie glauben, nicht vom Kreisel Max-Stromeyer-Strasse Richtung Kreisel Reichenaustrasse fahren zu dürfen. Hierbei kommt es gerade im unübersichtlichen Kurvenbereich immer wieder zu brenzligen Situationen, wenn man in umgekehrter Richtung unterwegs ist und sich dabei am rechten Rand des Radweges hält. Eine Markierung mit Richtungspfeilen auf dem Radweg würde hier sicher für Entschärfung sorgen.",
1486,4736,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6701629672432, 9.15551148167766",Technische Betriebe,Ungelöst Abgeschlossen,16.04.2021,"Seilerstraße 7, 78467 Konstanz, Deutschland                    ","defektes Klettergerüst beim Biergarten der Bleiche
Bretter in der Mitte durchgebrochen und provisorisch mit einer darüber gelegten Latte geflickt
Latten bei der Leiter an der Schaukel fehlen",
1487,4737,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.685302734375, 9.1452510561879",Stadtverwaltung,Gelöst,18.04.2021,"Brandenburger Str. 9, 78467 Konstanz, Germany                    ",Liegt in dem Wäldchen neben dem Waldorf Kindergarten. Herren Fahrrad weiß.,
1488,4738,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6726983054929, 9.18163429945707",Stadtverwaltung,Gelöst,18.04.2021,"Jahnstraße 18, 78467 Konstanz, Germany                    ","Fahrrad in der Hecke vom Garten 
Marke Ral Eigh",
1489,4739,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6718797688397, 9.16644374551633",Technische Betriebe,Gelöst,19.04.2021,"Reichenaustraße 148, 78467 Konstanz, Deutschland                    ",Müll und Dreck,
1491,4741,Müll/Sauberkeit > Mülleimer überfüllt,"47.6898289694082, 9.14700218522706",Technische Betriebe,Gelöst,20.04.2021,"Radolfzeller Str. 13A, 78467 Konstanz, Germany                    ","Guten Tag,
der Mülleimer ist überfüllt, bitte leeren. Mittlerweile sammelt sich auch Müll im Umkreis davon an, würden Sie diesen bitte beseitigen? Danke.",
1493,4743,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6854834070012, 9.15407356027388",Stadtverwaltung,Gelöst,20.04.2021,"Fürstenbergstraße 55, 78467 Konstanz, Germany                    ","seid etwa 4 Tagen ist ein fremdes Fahrrad an unseren Zaun der (leider) an der Bushaltestelle stadteinwärts Linie 2 ist, gekettet.",
1494,4744,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.681884765625, 9.18229856465543",Technische Betriebe,Gelöst,20.04.2021,"Danziger Str. 13, 78464 Konstanz, Germany                    ",Großes Schlagloch auf der Danziger Str. Höhe Hausnummer. 13-17,
1495,4745,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6840870069491, 9.15334835594588",Stadtverwaltung,Ungelöst Abgeschlossen,20.04.2021,"Hardtstraße 11, 78467 Konstanz, Germany                    ",Wasser läuft,
1497,4747,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.68569, 9.15382",Stadtverwaltung,Gelöst,22.04.2021,"Fürstenbergstraße 51, 78467 Konstanz, Germany                    ","Der im Rahmen der Straßensanierung vor dem Anwesen Fürstenbergstraße 51 (gegenüber Einmündung Hardtstraße) abmontierte Verkehrsspiegel wurde nach Abschluss der Arbeiten bisher nicht wieder aufgehängt. Der Blick aus der Hardtstraße nach rechts in die Fürstenbergstraße ist daher nur eingeschränkt möglich und als hohes Unfallrisiko zu werten - besonders, da nun einige Autofahrer tatsächlich denken, dass die neu asphaltierte Straße jetzt zum Schnellerfahren da ist...
(Adresssuche nach: Fürstenbergstraße 51)",
1499,4749,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6604576787736, 9.17646773824108",Technische Betriebe,Gelöst,23.04.2021,"Marktstätte 10, 78462 Konstanz, Germany                    ",die Beschilderung auf der Marktstätte ist übersät mit Aufklebern. Hier muss dringend gehandelt werden.,
1500,4750,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6731568977119, 9.1579429131048",Stadtverwaltung,Gelöst,23.04.2021,"Stromeyersdorf, 78467 Konstanz, Germany                    ","Unter dem Übergang für Fahrradfahrer und Fussgänger und vor dem B&B Hotel stehen zwei Wegweisser für Fahrradfahrerer, die einen in entgegengesetzte Richtungen zum Gleichen Ziel weissen.
Allerdings ist egal welchem Schild man folgt kein weiteres Schild zu finden, wo es wirklich hin gehen soll.",
1501,4751,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6886985784407, 9.1936377988444",Technische Betriebe,Gelöst,23.04.2021,"Mainaustraße, 78464 Konstanz, Germany                    ","mehrere große Schlaglöcher, sehr gefährlich für Radfahrer und Räder",
1503,4753,Müll/Sauberkeit > Mülleimer überfüllt,"47.6568503162952, 9.1734271328033",Technische Betriebe,Gelöst,24.04.2021,"Hüetlinstraße 18, 78462 Konstanz, Germany                    ",Mülleimer überfüllt,
1504,4754,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6946411132812, 9.19133340883516",Technische Betriebe,Gelöst,25.04.2021,"Mainaustraße 211, 78464 Konstanz, Germany                    ",einige gebraucht Masken liegen auf der Allee bis Litzelstetten links und rechts des Weges,
1505,4755,Müll/Sauberkeit > Illegaler Müll,"47.6779687062267, 9.17974635958672",Technische Betriebe,Ungelöst Abgeschlossen,25.04.2021,"Rebbergstraße 32A, 78464 Konstanz, Germany                    ",Hundebeutelspender und Mülleimer wäre sinnvoll. Das ist im Sinne vieler Hundebesitzer die dort ihre Gassi Runde Staten und enden und bestimmt auch im Sinne des Weinbauers....,
1506,4756,Hinweise > Hinweise,keine,Technische Betriebe,,25.04.2021,Gelöst,"Trockene Baumpflanzungen im Tägermoos
Letztes Jahr und auch nach der Fertigstellung des Radweges nach Tägerwilen wurden neue Obstbäume gepflanzt. Wenn ich die unveränderten Baumscheiben und den Zustand mancher Setzlinge anschaue und mit der aktuellen Trockenheit vergleiche, dann frage ich mich: Werden die ausreichend gegossen und gepflegt?",
1507,4757,Beleuchtung > Straßenlaternen defekt,"47.6812793, 9.2039545",Stadtwerke Konstanz,Gelöst,26.04.2021,"Nestgasse 15, 78464 Konstanz, Germany                    ","Strasseblampe defekt
(Adresssuche nach: Nestgasse 15)",
1508,4758,Müll/Sauberkeit > Mülleimer überfüllt,"47.7188739365974, 9.16915762071542",OV Litzelstetten,Gelöst,26.04.2021,"Marienweg 15, 78465 Konstanz, Germany                    ",Ortsausgang Litzelstetten Richtung Oberdorf sind die Mülleimer an der Parkbucht gnadenlos überfüllt und der Müll liegt überall verstreut.,
1509,4759,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6916587687292, 9.19092532270931",Technische Betriebe,Gelöst,27.04.2021,"Wolfsried 8, 78464 Konstanz, Germany                    ","An der Fahrrad-Auffahrt zur Brücke über die Landstraße in Egg ist wieder ein Ast halb angebrochen, was an dieser unübersichtlichen Stelle eine Gefährdung darstellt.",
1510,4760,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6674702717409, 9.18155785650015","Behrendt, Chrtistian",Gelöst,27.04.2021,"Glärnischstraße 7, 78464 Konstanz, Germany                    ","Abgebrochener Ast hängt in den Parkstreifen, Verletzungsgefahr durch herab fallen.
Höhe Haus Nr. 7",
1511,4761,Müll/Sauberkeit > Illegaler Müll,"47.6839904785156, 9.18246079392764",Technische Betriebe,Gelöst,27.04.2021,"Danziger Str. 23, 78464 Konstanz, Germany                    ",KFZ-Bleibatterie illegal entsorgt.,
1514,4764,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6655171881716, 9.16242063045502",Stadtverwaltung,Gelöst,30.04.2021,"Fischenzstraße 10, 78462 Konstanz, Germany                    ","Fahrrad ausgeschlachtet, nicht mehr fahrtüchtig.",
1516,4766,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.679143, 9.1862083",Stadtverwaltung,Gelöst,30.04.2021,"Königsbaustraße 13, 78464 Konstanz, Germany                    ","Ich finde den Höhenunterschied -als Stolperkante ungut. Ich selbst bin schon unangenehm umgeknickt. Es ist net barrierefrei
(Adresssuche nach: Königsbaustrasse)",
